Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Additional Details,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Council District,Police Precinct,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
68813535,2026-04-28 12:22:09,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,,Street,11234,1731 EAST 51 STREET,EAST 51 STREET,AVENUE N,AVENUE O,AVENUE N,AVENUE O,ADDRESS,BROOKLYN,EAST 51 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3078960029.0,BROOKLYN,"1,004,861","164,452",PHONE,Unspecified,BROOKLYN,,,,,,,,40.61803522351,-73.9257586844,POINT (-73.925758684397 40.618035223514)
68817973,2026-04-28 12:20:06,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Phone/Cable Lines,Other Types of Wires,Street,11234,1344 EAST 69 STREET,EAST 69 STREET,AVENUE M,AVENUE N,AVENUE M,AVENUE N,ADDRESS,BROOKLYN,EAST 69 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3083660207.0,BROOKLYN,"1,008,304","166,236",PHONE,Unspecified,BROOKLYN,,,,,,,,40.6229232511,-73.91335056697,POINT (-73.913350566973 40.622923251097)
68801894,2026-04-27 16:06:12,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,,Street,11234,5013 AVENUE N,AVENUE N,UTICA AVENUE,EAST 51 STREET,UTICA AVENUE,EAST 51 STREET,ADDRESS,BROOKLYN,AVENUE N,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3078750005.0,BROOKLYN,"1,004,615","164,793",PHONE,Unspecified,BROOKLYN,,,,,,,,40.6189717662,-73.92664375327,POINT (-73.926643753269 40.618971766199)
68800555,2026-04-26 15:12:23,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,,Street,11234,1607 EAST 31 STREET,EAST 31 STREET,AVENUE P,QUENTIN ROAD,AVENUE P,QUENTIN ROAD,ADDRESS,BROOKLYN,EAST 31 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3077040037.0,BROOKLYN,"1,000,393","162,846",PHONE,Unspecified,BROOKLYN,,,,,,,,40.61363635421,-73.94185636178,POINT (-73.941856361775 40.613636354212)
68775779,2026-04-24 09:03:03,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,,Street,11234,1603 EAST 34 STREET,EAST 34 STREET,AVENUE N,AVENUE P,AVENUE N,AVENUE P,ADDRESS,BROOKLYN,EAST 34 STREET,,In Progress,,,,18 BROOKLYN,45.0,Precinct 63,3076960020.0,BROOKLYN,"1,000,656","163,741",UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.61609246059,-73.94090691759,POINT (-73.940906917592 40.616092460587)
68768724,2026-04-23 18:58:39,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,,Street,11234,3703 AVENUE M,AVENUE M,EAST 37 STREET,EAST 38 STREET,EAST 37 STREET,EAST 38 STREET,ADDRESS,BROOKLYN,AVENUE M,,In Progress,,,,18 BROOKLYN,45.0,Precinct 63,3076550009.0,BROOKLYN,"1,001,257","165,296",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.62035947841,-73.9387382479,POINT (-73.938738247905 40.620359478411)
68768719,2026-04-23 10:36:49,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,,Street,11234,1786 EAST 34 STREET,EAST 34 STREET,QUENTIN ROAD,AVENUE R,QUENTIN ROAD,AVENUE R,ADDRESS,BROOKLYN,EAST 34 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3077160072.0,BROOKLYN,"1,001,721","162,480",PHONE,Unspecified,BROOKLYN,,,,,,,,40.61262924097,-73.93707413796,POINT (-73.937074137962 40.612629240966)
68743521,2026-04-21 14:03:09,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,,Street,11234,1267 EAST 56 STREET,EAST 56 STREET,AVENUE K,AVENUE L,AVENUE K,AVENUE L,ADDRESS,BROOKLYN,EAST 56 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3078360018.0,BROOKLYN,"1,005,990","166,940",UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.62486156351,-73.92168398917,POINT (-73.921683989172 40.624861563511)
68748221,2026-04-21 11:50:28,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,Power Lines,Street,11234,3911 AVENUE S,AVENUE S,RYDER STREET,KIMBALL STREET,RYDER STREET,KIMBALL STREET,ADDRESS,BROOKLYN,AVENUE S,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3085060005.0,BROOKLYN,"1,003,957","161,983",PHONE,Unspecified,BROOKLYN,,,,,,,,40.61126038782,-73.92902211869,POINT (-73.929022118687 40.611260387817)
68736332,2026-04-20 12:19:29,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,Power Lines,Street,11234,3719 QUENTIN ROAD,QUENTIN ROAD,EAST 37 STREET,EAST 38 STREET,EAST 37 STREET,EAST 38 STREET,ADDRESS,BROOKLYN,QUENTIN ROAD,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3077100002.0,BROOKLYN,"1,002,056","163,438",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.61525808561,-73.93586503185,POINT (-73.935865031847 40.615258085615)
68719774,2026-04-19 20:24:45,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,,Street,11234,2224 EAST 63 STREET,EAST 63 STREET,STRICKLAND AVENUE,OHIO WALK,STRICKLAND AVENUE,OHIO WALK,ADDRESS,BROOKLYN,EAST 63 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3086560027.0,BROOKLYN,"1,009,009","162,944",UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.61388545739,-73.91082302833,POINT (-73.910823028326 40.613885457389)
68701689,2026-04-17 13:35:00,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,,Street,11234,1683 EAST 49 STREET,EAST 49 STREET,AVENUE M,AVENUE N,AVENUE M,AVENUE N,ADDRESS,BROOKLYN,EAST 49 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3078740019.0,BROOKLYN,"1,004,247","165,090",PHONE,Unspecified,BROOKLYN,,,,,,,,40.61978780738,-73.92796843636,POINT (-73.927968436359 40.619787807378)
68701687,2026-04-17 13:05:39,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,,Street,11234,4713 AVENUE H,AVENUE H,SCHENECTADY AVENUE,EAST 48 STREET,SCHENECTADY AVENUE,EAST 48 STREET,ADDRESS,BROOKLYN,AVENUE H,,In Progress,,,,18 BROOKLYN,45.0,Precinct 63,3077310005.0,BROOKLYN,"1,003,389","169,789",PHONE,Unspecified,BROOKLYN,,,,,,,,40.63268746674,-73.93104572874,POINT (-73.931045728742 40.632687466739)
68692877,2026-04-16 12:45:52,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,,Street,11234,3824 QUENTIN ROAD,QUENTIN ROAD,EAST 38 STREET,RYDER STREET,EAST 38 STREET,RYDER STREET,ADDRESS,BROOKLYN,QUENTIN ROAD,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3078850049.0,BROOKLYN,"1,002,265","163,609",UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.61572702263,-73.93511178421,POINT (-73.935111784211 40.615727022632)
68688513,2026-04-16 12:38:45,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,,Street,11234,3824 QUENTIN ROAD,QUENTIN ROAD,EAST 38 STREET,RYDER STREET,EAST 38 STREET,RYDER STREET,ADDRESS,BROOKLYN,QUENTIN ROAD,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3078850049.0,BROOKLYN,"1,002,265","163,609",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.61572702263,-73.93511178421,POINT (-73.935111784211 40.615727022632)
68634519,2026-04-11 19:37:19,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Phone/Cable Lines,Telephone Lines,Street,11234,5401 GLENWOOD ROAD,GLENWOOD ROAD,EAST 54 STREET,EAST 55 STREET,EAST 54 STREET,EAST 55 STREET,ADDRESS,BROOKLYN,GLENWOOD ROAD,,In Progress,,,,18 BROOKLYN,45.0,Precinct 63,3079720011.0,BROOKLYN,"1,005,178","170,795",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63544467616,-73.92459717635,POINT (-73.92459717635 40.635444676163)
68630776,2026-04-11 10:52:30,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Phone/Cable Lines,Other Types of Wires,Street,11234,1829 EAST 32 STREET,EAST 32 STREET,AVENUE R,FILLMORE AVENUE,AVENUE R,FILLMORE AVENUE,ADDRESS,BROOKLYN,EAST 32 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3084760028.0,BROOKLYN,"1,001,680","161,735",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.61058445056,-73.9372237319,POINT (-73.9372237319 40.610584450559)
68628302,2026-04-10 15:54:23,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Phone/Cable Lines,Telephone Lines,Street,11234,1818 RYDER STREET,RYDER STREET,AVENUE R,FILLMORE AVENUE,AVENUE R,FILLMORE AVENUE,ADDRESS,BROOKLYN,RYDER STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3084820048.0,BROOKLYN,"1,003,041","162,964",PHONE,Unspecified,BROOKLYN,,,,,,,,40.61395501972,-73.93231850647,POINT (-73.932318506474 40.613955019723)
68615203,2026-04-09 12:59:12,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Phone/Cable Lines,Other Types of Wires,Street,11234,1362 EAST 56 STREET,EAST 56 STREET,AVENUE L,AVENUE M,AVENUE L,AVENUE M,ADDRESS,BROOKLYN,EAST 56 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3078530077.0,BROOKLYN,"1,006,053","166,098",PHONE,Unspecified,BROOKLYN,,,,,,,,40.62255029579,-73.92145975817,POINT (-73.921459758171 40.622550295789)
68598008,2026-04-08 09:24:18,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,Power Lines,Street,11234,1772 EAST 33 STREET,EAST 33 STREET,QUENTIN ROAD,AVENUE R,QUENTIN ROAD,AVENUE R,ADDRESS,BROOKLYN,EAST 33 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3077150073.0,BROOKLYN,"1,001,556","162,272",PHONE,Unspecified,BROOKLYN,,,,,,,,40.61205864776,-73.93766895664,POINT (-73.937668956638 40.61205864776)
68595263,2026-04-07 10:41:06,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Phone/Cable Lines,Telephone Lines,Street,11234,1274 EAST 53 STREET,EAST 53 STREET,FLATLANDS AVENUE,AVENUE K,FLATLANDS AVENUE,AVENUE K,ADDRESS,BROOKLYN,EAST 53 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3078000044.0,BROOKLYN,"1,005,099","167,939",PHONE,Unspecified,BROOKLYN,,,,,,,,40.62760574943,-73.92489063345,POINT (-73.92489063345 40.627605749432)
68582444,2026-04-06 21:37:33,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Clear Street Light,,Street,11234,1995 TROY AVENUE,TROY AVENUE,,AVENUE L,,AVENUE L,ADDRESS,BROOKLYN,TROY AVENUE,,In Progress,,,,18 BROOKLYN,45.0,Precinct 63,3078240009.0,BROOKLYN,"1,002,797","166,493",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.62364190258,-73.93318765146,POINT (-73.933187651456 40.623641902583)
68575318,2026-04-06 11:01:34,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,,Street,11234,1919 EAST 36 STREET,EAST 36 STREET,FILLMORE AVENUE,AVENUE S,FILLMORE AVENUE,AVENUE S,ADDRESS,BROOKLYN,EAST 36 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3085030038.0,BROOKLYN,"1,002,951","161,862",PHONE,Unspecified,BROOKLYN,,,,,,,,40.61093044808,-73.93264572062,POINT (-73.932645720623 40.610930448077)
68571389,2026-04-05 13:43:45,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,Power Lines,Street,11234,1744 EAST 31 STREET,EAST 31 STREET,QUENTIN ROAD,AVENUE R,QUENTIN ROAD,AVENUE R,ADDRESS,BROOKLYN,EAST 31 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3077130047.0,BROOKLYN,"1,001,040","162,077",UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.6115244058,-73.93952791878,POINT (-73.939527918778 40.611524405802)
68553834,2026-04-03 07:42:19,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,,Street,11234,7224 AVENUE M,AVENUE M,EAST 72 STREET,EAST 73 STREET,EAST 72 STREET,EAST 73 STREET,ADDRESS,BROOKLYN,AVENUE M,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3083620048.0,BROOKLYN,"1,008,807","167,190",PHONE,Unspecified,BROOKLYN,,,,,,,,40.62554040004,-73.91153514676,POINT (-73.911535146761 40.62554040004)
68543364,2026-04-02 13:59:06,04/06/2026 03:52:59 PM,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,,Street,11234,2240 EAST 59 PLACE,EAST 59 PLACE,STRICKLAND AVENUE,MILL AVENUE,STRICKLAND AVENUE,MILL AVENUE,ADDRESS,BROOKLYN,EAST 59 PLACE,,Closed,,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,04/06/2026 03:53:03 PM,18 BROOKLYN,46.0,Precinct 63,3086500045.0,BROOKLYN,"1,008,642","161,769",PHONE,Unspecified,BROOKLYN,,,,,,,,40.61066134395,-73.91214913248,POINT (-73.912149132482 40.61066134395)
68526797,2026-04-01 15:39:54,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,,Street,11234,1188 EAST 58 STREET,EAST 58 STREET,AVENUE K,AVENUE L,AVENUE K,AVENUE L,ADDRESS,BROOKLYN,EAST 58 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3078370053.0,BROOKLYN,"1,006,496","167,166",PHONE,Unspecified,BROOKLYN,,,,,,,,40.62548062971,-73.91986043479,POINT (-73.919860434794 40.625480629711)
68511164,2026-03-30 13:40:18,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,,Street,11234,1477 EAST 53 STREET,EAST 53 STREET,AVENUE L,AVENUE M,AVENUE L,AVENUE M,ADDRESS,BROOKLYN,EAST 53 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3078510023.0,BROOKLYN,"1,005,256","166,098",PHONE,Unspecified,BROOKLYN,,,,,,,,40.62255222135,-73.92433076404,POINT (-73.924330764042 40.622552221354)
68442600,2026-03-24 13:31:41,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,,Street,11234,5211 AVENUE T,AVENUE T,EAST 52 STREET,EAST 52 STREET,EAST 52 STREET,EAST 52 STREET,ADDRESS,BROOKLYN,AVENUE T,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3085300007.0,BROOKLYN,"1,005,418","162,203",PHONE,Unspecified,BROOKLYN,,,,,,,,40.61186087255,-73.92375940875,POINT (-73.923759408751 40.611860872548)
68444210,2026-03-24 09:11:21,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,,Street,11234,1925 EAST 32 STREET,EAST 32 STREET,FILLMORE AVENUE,AVENUE S,FILLMORE AVENUE,AVENUE S,ADDRESS,BROOKLYN,EAST 32 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3084990027.0,BROOKLYN,"1,002,161","161,171",PHONE,Unspecified,BROOKLYN,,,,,,,,40.60903542756,-73.9354928483,POINT (-73.935492848301 40.609035427563)
68417516,2026-03-22 19:02:14,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,Power Lines,Street,11234,FLATLANDS AVENUE,FLATLANDS AVENUE,EAST 53 STREET,AVENUE J,EAST 53 STREET,AVENUE J,BLOCKFACE,,,,In Progress,,,,Unspecified BROOKLYN,,Precinct 63,,BROOKLYN,"1,005,176","168,150",PHONE,Unspecified,BROOKLYN,,,,,,,,40.62818471826,-73.92461258379,POINT (-73.924612583786 40.628184718259)
68397483,2026-03-20 18:53:50,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,,Street,11234,2304 EAST 66 STREET,EAST 66 STREET,OHIO WALK,WHITMAN DRIVE,OHIO WALK,WHITMAN DRIVE,ADDRESS,BROOKLYN,EAST 66 STREET,,In Progress,,"NYC Parks inspected the tree and assigned it to priority category C. The agency works on trees based on priority. They categorize tree conditions from A (highest priority) to D (lowest priority).  There isnât a set timeframe for work in category C. If the condition gets worse, please file a new request. Parks will reinspect the tree and update the priority level if needed. You can track the status of the work through the Tree Work Hub at nyc.gov/parks/treework.  If you prefer not to wait, you can hire a qualified tree care contractor. You'd need to pay for the work yourself and get a Tree Work Permit. You can apply for the free permit at nyc.gov/parks/trees.  Are you interested in caring for street trees in your neighborhood? You can get trained and certified by Trees New York to prune low-hanging branches. To learn about the free Citizen Pruner program, visit treesny.org/citizen-pruners-stewardship.",03/23/2026 09:11:50 AM,18 BROOKLYN,46.0,Precinct 63,3086350001.0,BROOKLYN,"1,010,016","162,840",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.61359712794,-73.90719641502,POINT (-73.907196415015 40.613597127938)
68399034,2026-03-20 13:24:15,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,Power Lines,Street,11234,1254 EAST 59 STREET,EAST 59 STREET,AVENUE L,AVENUE M,AVENUE L,AVENUE M,ADDRESS,BROOKLYN,EAST 59 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3078560067.0,BROOKLYN,"1,006,835","166,231",PHONE,Unspecified,BROOKLYN,,,,,,,,40.62291339383,-73.91864234148,POINT (-73.918642341477 40.622913393829)
68400264,2026-03-20 11:16:11,03/23/2026 03:46:52 PM,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,,Street,11234,1666 EAST 34 STREET,EAST 34 STREET,AVENUE P,QUENTIN ROAD,AVENUE P,QUENTIN ROAD,ADDRESS,BROOKLYN,EAST 34 STREET,,Closed,,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,03/23/2026 03:46:55 PM,18 BROOKLYN,46.0,Precinct 63,3077060055.0,BROOKLYN,"1,001,108","163,201",UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.61460942417,-73.93928019898,POINT (-73.939280198979 40.614609424172)
68388995,2026-03-19 15:04:36,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,Power Lines,Street,11234,7416 AVENUE U,AVENUE U,EAST 74 STREET,ROYCE STREET,EAST 74 STREET,ROYCE STREET,ADDRESS,BROOKLYN,AVENUE U,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3084340042.0,BROOKLYN,"1,010,595","165,662",PHONE,Unspecified,BROOKLYN,,,,,,,,40.62134122536,-73.90509997168,POINT (-73.905099971675 40.621341225362)
68371929,2026-03-18 20:02:38,03/23/2026 03:46:52 PM,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,,Street,11234,5416 AVENUE M,AVENUE M,EAST 54 STREET,EAST 55 STREET,EAST 54 STREET,EAST 55 STREET,ADDRESS,BROOKLYN,AVENUE M,,Closed,,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,03/23/2026 03:46:55 PM,18 BROOKLYN,46.0,Precinct 63,3078790048.0,BROOKLYN,"1,005,621","165,755",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.62160988538,-73.92301702285,POINT (-73.923017022853 40.621609885377)
68373583,2026-03-18 12:48:33,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,Power Lines,Street,11234,4122 FILLMORE AVENUE,FILLMORE AVENUE,COLEMAN STREET,HENDRICKSON STREET,COLEMAN STREET,HENDRICKSON STREET,ADDRESS,BROOKLYN,FILLMORE AVENUE,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3085080046.0,BROOKLYN,"1,003,868","162,923",UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.61384069077,-73.92933993519,POINT (-73.929339935191 40.61384069077)
68348727,2026-03-16 15:57:26,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,Power Lines,Street,11234,1671 KIMBALL STREET,KIMBALL STREET,AVENUE P,QUENTIN ROAD,AVENUE P,QUENTIN ROAD,ADDRESS,BROOKLYN,KIMBALL STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3078640011.0,BROOKLYN,"1,002,422","164,104",UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.61708537411,-73.93454495397,POINT (-73.93454495397 40.617085374108)
